KO_ID	P1	P2	P3	P4	I1	I2	I3	I4
K05774	1	2	2	3	2	3	1	1
K05776	0	18	10	5	14	22	8	1
K05780	1	1	0	2	1	2	0	1
K05781	1	1	0	2	0	2	0	1
K05783	2	4	6	6	6	6	8	0
K05784	0	10	8	6	8	4	4	0
K05797	0	4	8	0	3	3	3	0
K05813	2	19	8	9	10	6	6	0
K05814	3	41	25	33	32	21	10	2
K05815	0	18	8	8	9	8	5	0
K05816	3	54	26	26	32	21	16	0
K05821	0	0	0	0	0	0	0	0
K05822	5	24	16	19	25	23	6	1
K05823	0	1	0	0	1	0	0	1
K05824	0	0	1	0	1	0	0	0
K05825	6	39	28	28	35	21	14	5
K05826	4	12	8	9	12	11	4	3
K05827	4	6	5	6	5	4	4	0
K05830	4	14	20	8	14	12	10	0
K05831	1	1	0	0	2	4	1	0
K05840	0	0	0	0	0	0	0	0
K05842	0	0	0	0	0	0	0	0
K05845	6	60	43	46	59	45	24	7
K05846	6	59	40	42	53	43	24	6
K05847	4	41	24	27	40	31	16	5
K05848	0	1	1	0	1	0	0	0
K05849	2	0	0	0	0	0	0	0
K05850	0	0	0	0	0	0	0	0
K05851	2	0	0	0	2	0	0	0
K05852	0	0	0	0	0	0	0	0
K05853	0	0	0	0	0	0	0	0
K05854	0	0	0	0	0	0	0	0
K05855	0	0	0	0	0	0	0	0
K05856	0	0	0	0	0	0	0	0
K05857	0	0	0	0	0	0	0	0
K05858	0	0	0	0	0	0	0	0
K05859	0	0	0	0	0	0	0	0
K05860	0	0	0	0	0	0	0	0
K05861	0	0	0	0	0	0	0	0
K05862	0	0	0	0	0	0	0	0
K05863	0	0	0	0	0	0	0	0
K05864	0	0	0	0	0	0	0	0
K05865	0	0	0	0	0	0	0	0
K05866	0	0	0	0	0	0	0	0
K05867	0	0	0	0	0	0	0	0
K05868	0	0	0	0	0	0	0	0
K05869	0	0	0	0	0	0	0	0
K05870	0	0	0	0	0	0	0	0
K05871	0	0	0	0	0	0	0	0
K05872	0	0	0	0	0	0	0	0
K05873	4	19	13	13	19	18	8	1
K05874	42	54	52	34	56	48	18	8
K05875	30	46	42	32	42	34	16	2
K05876	10	14	8	10	8	14	8	0
K05877	6	0	0	0	0	0	0	0
K05878	2	9	6	6	9	4	3	1
K05879	0	8	3	8	9	4	0	1
K05884	0	4	0	0	2	0	0	0
K05887	0	12	7	5	19	13	6	1
K05888	0	0	0	0	0	0	0	0
K05894	0	6	0	3	1	1	0	0
K05895	0	4	2	3	4	3	0	1
K05901	0	0	0	0	0	0	0	0
K05903	0	0	0	0	0	0	0	0
K05913	0	4	3	3	3	1	1	0
K05915	0	0	0	0	0	0	0	0
K05917	1	7	4	6	3	5	0	0
K05921	2	17	13	11	10	6	6	0
K05928	4	40	36	28	36	41	22	2
K05929	0	15	7	4	12	8	5	1
K05933	0	1	0	0	0	0	0	0
K05934	0	7	4	3	8	4	1	1
K05936	2	8	4	3	3	3	1	3
K05939	0	58	20	28	34	36	12	6
K05940	0	0	0	0	0	0	0	0
K05947	1	2	2	1	4	4	1	0
K05948	0	0	0	0	0	0	0	0
K05957	0	1	2	1	1	1	0	0
K05964	0	0	1	0	0	0	0	0
K05966	0	9	5	0	7	12	3	1
K05973	3	32	20	15	15	13	8	2
K05979	2	17	5	9	17	8	2	3
K05980	0	0	0	0	0	0	0	0
K05993	0	0	0	0	0	0	0	0
K06001	0	26	18	24	16	14	10	2
K06002	0	0	0	0	0	0	0	0
K06019	3	17	14	12	23	19	7	0
K06027	2	30	18	13	21	22	16	3
K06034	1	14	12	9	12	12	9	3
K06035	0	0	0	0	0	0	0	0
K06042	0	7	5	4	7	9	1	0
K06045	5	49	28	27	51	40	13	5
K06051	0	0	0	0	0	0	0	0
K06052	0	0	0	0	0	0	0	0
K06053	0	0	0	0	0	0	0	0
K06054	0	0	0	0	0	0	0	0
K06055	0	0	0	0	0	0	0	0
K06056	0	0	0	0	0	0	0	0
K06057	0	0	0	0	0	0	0	0
K06058	0	0	0	0	0	0	0	0
K06059	0	0	0	0	0	0	0	0
K06060	0	0	0	0	0	0	0	0
K06061	0	0	0	0	0	0	0	0
K06062	0	0	0	0	0	0	0	0
K06063	0	0	0	0	0	0	0	0
K06064	0	0	0	0	0	0	0	0
K06065	0	0	0	0	0	0	0	0
K06066	0	0	0	0	0	0	0	0
K06067	0	0	0	0	0	0	0	0
K06068	0	0	0	0	0	0	0	0
K06069	0	0	0	0	0	0	0	0
K06073	0	4	3	4	2	0	3	0
K06074	0	0	0	0	0	0	0	0
K06080	0	0	0	0	0	0	0	0
K06081	0	0	0	0	0	0	0	0
K06082	0	0	0	0	0	0	0	0
K06083	0	2	0	0	0	0	0	0
K06084	0	0	0	0	0	0	0	0
K06085	0	0	0	0	0	0	0	0
K06086	0	0	0	0	0	0	0	0
K06087	0	0	0	0	0	0	0	0
K06088	0	0	0	0	0	0	0	0
K06089	0	0	0	0	0	0	0	0
K06090	0	0	0	0	0	0	0	0
K06091	0	0	0	0	0	0	0	0
K06092	0	0	0	0	0	0	0	0
K06093	0	0	0	0	0	0	0	0
K06094	0	0	0	0	0	0	0	0
K06095	0	0	0	0	0	0	0	0
K06096	0	0	0	0	0	0	0	0
K06097	0	0	0	0	0	0	0	0
K06098	0	0	0	0	0	0	0	0
K06099	0	0	0	0	0	0	0	0
K06100	0	0	0	0	0	0	0	0
K06101	0	0	0	0	0	0	0	0
K06102	0	0	0	0	0	0	0	0
K06103	0	0	0	0	0	0	0	0
K06104	0	0	0	0	0	0	0	0
K06105	0	0	0	0	0	0	0	0
K06106	0	0	0	0	0	0	0	0
K06107	0	0	0	0	0	0	0	0
K06108	0	0	0	0	0	0	0	0
K06109	0	0	0	0	0	0	0	0
K06110	0	0	0	0	0	0	0	0
K06111	0	0	0	0	0	0	0	0
K06112	0	0	0	0	0	0	0	0
K06116	0	0	0	0	0	0	0	0
K06117	0	0	0	0	0	0	0	0
K06118	0	18	8	4	12	6	4	0
K06119	0	0	0	0	0	0	0	0
K06120	0	0	0	0	0	0	0	0
K06121	0	0	0	0	1	0	0	0
K06122	0	1	0	2	1	1	0	0
K06123	0	2	0	0	0	2	2	0
K06124	0	0	0	0	0	0	0	0
K06125	0	0	1	1	0	0	0	0
K06126	0	0	0	0	0	0	0	0
K06127	0	0	0	0	0	0	0	0
K06128	0	0	0	0	0	0	0	0
K06129	0	0	0	0	0	0	0	0
K06130	0	0	0	0	0	1	0	0
K06131	9	123	65	51	71	53	28	9
K06132	3	44	24	25	16	16	10	2
K06133	6	47	22	18	25	30	16	3
K06134	3	11	12	11	12	11	1	3
K06148	22	213	143	142	189	171	78	20
K06151	1	40	24	17	43	33	14	2
K06152	0	37	18	17	34	31	14	1
K06153	8	65	45	37	53	46	16	6
K06159	0	2	3	3	1	2	0	0
K06160	0	5	6	8	2	6	3	0
K06161	0	0	1	0	1	0	0	0
K06170	0	0	0	0	0	0	0	0
K06171	0	0	0	0	0	0	0	0
K06172	0	0	0	0	0	0	0	0
K06187	5	57	32	31	55	32	23	5
K06193	1	0	2	0	0	0	0	0
K06208	2	7	3	3	13	4	2	1
K06209	0	0	0	0	0	0	0	0
K06210	0	0	0	0	0	0	0	0
K06215	2	20	11	19	16	16	10	2
K06223	3	13	9	6	7	10	4	2
K06224	0	0	0	0	0	0	0	0
K06225	0	0	0	0	0	0	0	0
K06226	0	0	0	0	0	0	0	0
K06227	0	0	0	0	0	0	0	0
K06228	0	0	0	0	0	0	0	0
K06229	0	0	0	0	0	0	0	0
K06230	0	0	0	0	0	0	0	0
K06231	0	0	0	0	0	0	0	0
K06232	0	0	0	0	0	0	0	0
K06233	0	0	0	0	0	0	0	0
K06234	0	0	0	0	0	0	0	0
K06235	0	0	0	0	0	0	0	0
K06236	0	20	0	4	4	0	0	0
K06237	0	30	18	6	6	6	6	12
K06238	0	0	0	0	0	0	0	0
K06240	0	0	0	0	0	0	0	0
K06241	0	0	0	0	0	0	0	0
K06243	0	0	0	0	0	0	0	0
K06244	0	0	0	0	0	0	0	0
K06245	0	0	0	0	0	0	0	0
K06246	0	0	0	0	0	0	0	0
K06247	0	0	0	0	0	0	0	0
K06248	0	0	0	0	0	0	0	0
K06249	0	0	0	0	0	0	0	0
K06250	0	0	0	0	0	0	0	0
K06251	0	0	0	0	0	0	0	0
K06252	0	2	2	2	2	6	2	0
K06253	0	0	0	0	0	0	0	0
K06254	0	0	0	0	0	0	0	0
K06255	0	0	0	0	0	0	0	0
K06256	0	0	0	0	0	0	0	0
K06257	0	0	0	0	0	0	0	0
K06258	0	0	0	0	0	0	0	0
K06259	0	0	0	0	0	7	0	0
K06260	0	0	0	0	0	0	0	0
K06261	0	0	0	0	0	0	0	0
K06262	0	0	0	0	0	0	0	0
K06263	0	0	0	0	0	0	0	0
K06264	0	0	0	0	0	0	0	0
K06265	0	0	0	0	0	0	0	0
K06266	0	0	0	0	0	0	0	0
K06267	0	0	0	0	0	0	0	0
K06268	0	0	0	0	0	0	0	0
K06269	0	0	0	0	0	0	0	0
K06270	0	0	0	0	0	0	0	0
K06271	0	0	0	0	0	0	0	0
K06272	0	0	0	0	0	0	0	0
K06273	0	0	0	0	0	0	0	0
K06274	0	0	0	0	0	0	0	0
K06275	0	0	0	0	1	1	0	0
K06276	0	0	0	0	0	0	0	0
K06277	0	0	0	0	0	0	0	0
K06278	0	0	0	0	0	0	0	0
K06279	0	0	0	0	0	0	0	0
K06281	2	16	15	8	13	15	8	4
K06282	2	23	19	12	18	22	9	4
K06316	0	0	0	0	0	0	0	0
K06347	0	0	0	0	0	0	0	0
K06375	0	0	0	0	0	0	0	0
K06441	0	0	0	0	0	0	0	0
K06443	0	0	0	1	0	0	0	0
K06444	0	0	0	0	0	0	0	0
K06445	2	44	28	25	37	26	9	2
K06446	3	99	58	61	77	67	15	8
K06447	2	0	0	3	2	1	0	1
K06448	0	0	0	0	0	0	0	0
K06449	0	0	0	0	0	0	0	0
K06450	0	0	0	0	0	0	0	0
K06451	0	0	0	0	0	0	0	0
K06452	0	0	0	0	0	0	0	0
K06453	0	0	0	0	0	0	0	0
K06454	0	0	0	0	0	0	0	0
K06455	0	0	0	0	0	0	0	0
K06456	0	0	0	0	0	0	0	0
K06457	0	0	0	0	0	0	0	0
K06458	0	0	0	0	0	0	0	0
K06459	0	0	0	0	0	0	0	0
K06460	0	0	0	0	0	0	0	0
K06461	0	0	0	0	0	0	0	0
K06462	0	0	0	0	0	0	0	0
K06463	0	0	0	0	0	0	0	0
K06464	0	0	0	0	0	0	0	0
K06465	0	0	0	0	0	0	0	0
K06466	0	0	0	0	0	0	0	0
K06467	0	0	0	0	0	0	0	0
K06468	0	0	0	0	0	0	0	0
K06469	0	0	0	0	0	0	0	0
K06470	0	0	0	0	0	0	0	0
K06471	0	0	0	0	0	0	0	0
K06472	0	0	0	0	0	0	0	0
K06473	0	0	0	0	0	0	0	0
K06474	0	0	0	0	0	0	0	0
K06475	0	0	0	0	0	0	0	0
K06476	0	0	0	0	0	0	0	0
K06477	0	0	0	0	0	0	0	0
K06478	0	0	0	0	0	0	0	0
K06479	0	0	0	0	0	0	0	0
K06480	0	0	0	0	0	0	0	0
K06481	0	0	0	0	0	0	0	0
K06482	0	0	0	0	0	0	0	0
K06483	0	0	0	0	0	0	0	0
K06484	0	0	0	0	0	0	0	0
K06485	0	0	0	0	0	0	0	0
K06486	0	0	0	0	0	0	0	0
K06487	0	0	0	10	0	0	0	0
K06490	0	0	0	0	0	0	0	0
K06491	0	0	0	0	0	0	0	0
K06492	0	0	0	0	0	0	0	0
K06493	0	0	0	0	0	0	0	0
K06494	0	0	0	0	0	0	0	0
K06495	0	0	0	0	0	0	0	0
K06496	0	0	0	0	0	0	0	0
K06497	0	0	0	0	0	0	0	0
K06498	0	0	0	0	0	0	0	0
K06501	0	0	0	0	0	0	0	0
K06503	0	0	0	0	0	0	0	0
K06504	0	0	0	0	0	0	0	0
K06505	0	0	0	0	0	0	0	0
K06506	0	0	0	0	0	0	0	0
K06507	0	0	0	0	0	0	0	0
K06508	0	0	0	0	0	0	0	0
K06509	0	0	0	0	0	0	0	0
K06512	0	0	0	0	0	0	0	0
K06513	0	0	0	0	0	0	0	0
K06514	0	0	0	0	0	0	0	0
K06516	0	0	0	0	0	0	0	0
K06519	0	0	0	0	0	0	0	0
K06520	0	0	0	0	0	0	0	0
K06521	0	0	0	0	0	0	0	0
K06523	0	0	0	0	0	0	0	0
K06524	0	0	0	0	0	0	0	0
K06525	0	0	0	0	0	0	0	0
K06527	0	0	0	0	0	0	0	0
K06528	0	0	0	0	0	0	0	0
K06529	0	0	0	0	0	0	0	0
K06531	0	0	0	0	0	0	0	0
K06533	0	0	0	0	0	0	0	0
K06536	0	0	0	0	0	0	0	0
K06538	0	0	0	0	0	0	0	0
K06539	0	0	0	0	0	0	0	0
K06541	0	0	0	0	0	0	0	0
K06543	0	0	0	0	0	0	0	0
K06544	0	0	0	0	0	0	0	0
K06546	0	0	0	0	0	0	0	0
K06547	0	0	0	0	0	0	0	0
K06548	0	0	0	0	0	0	0	0
K06550	0	0	0	0	0	0	0	0
K06551	0	0	0	0	0	0	0	0
K06558	0	0	0	0	0	0	0	0
K06560	0	0	0	0	0	0	0	0
K06562	0	0	0	0	0	0	0	0
K06563	0	0	0	0	0	0	0	0
K06564	0	0	0	0	0	0	0	0
K06567	0	0	0	0	0	0	0	0
K06572	0	0	0	0	0	0	0	0
K06573	0	0	0	0	0	0	0	0
K06574	0	0	0	0	0	0	0	0
K06575	0	0	0	0	0	0	0	0
K06576	0	0	0	0	0	0	0	0
K06582	0	0	0	0	0	0	0	0
K06583	0	0	0	0	0	0	0	0
K06584	0	0	0	7	0	0	0	0
K06585	0	0	0	0	0	0	0	0
K06586	0	0	0	0	0	0	0	0
K06587	0	0	0	0	0	0	0	0
K06588	0	0	0	0	0	0	0	0
K06589	0	0	0	0	0	0	0	0
K06590	0	0	0	0	0	0	0	0
K06591	0	0	0	0	0	0	0	0
K06592	0	0	0	0	0	0	0	0
K06593	0	0	0	0	0	0	0	0
K06594	0	0	0	0	0	0	0	0
K06596	1	31	18	15	21	19	8	1
K06597	0	0	0	0	0	0	0	0
K06598	0	3	4	2	4	3	1	0
K06604	0	0	0	0	0	0	0	0
K06611	0	0	0	0	0	0	0	0
K06617	0	0	0	0	0	0	0	0
K06618	0	0	0	0	0	0	0	0
K06619	0	0	0	0	0	0	0	0
K06620	0	0	0	0	0	0	0	0
K06621	0	0	0	0	0	0	0	0
K06622	0	0	0	0	0	0	0	0
K06623	0	0	0	0	0	0	0	0
K06624	0	0	0	0	0	0	0	0
K06625	0	0	0	0	0	0	0	0
K06626	0	0	0	0	0	0	0	0
K06627	0	0	0	0	0	0	0	0
K06628	0	0	0	0	0	0	0	0
K06629	0	0	0	0	0	0	0	0
K06630	0	0	0	0	0	0	0	0
K06631	0	0	0	0	0	0	0	0
K06632	0	0	0	0	0	0	0	0
K06633	0	0	0	0	0	0	0	0
K06634	0	0	0	0	0	0	0	0
K06635	0	0	0	0	0	0	0	0
K06636	0	0	0	0	0	0	0	0
K06637	0	0	0	0	0	0	0	0
K06638	0	0	0	0	0	0	0	0
K06639	0	0	0	0	0	0	0	0
K06640	0	0	0	0	0	0	0	0
K06641	0	0	0	0	0	0	0	0
K06642	0	0	0	0	0	0	0	0
K06643	0	0	0	0	0	0	0	0
K06644	0	0	0	0	0	0	0	0
K06645	0	0	0	0	0	0	0	0
K06646	0	0	0	0	0	0	0	0
K06647	0	0	0	0	0	0	0	0
K06648	0	0	0	0	0	0	0	0
K06649	0	0	0	0	0	0	0	0
K06650	0	0	0	0	0	0	0	0
K06651	0	0	0	0	0	0	0	0
K06652	0	0	0	0	0	0	0	0
K06653	0	0	0	0	0	0	0	0
K06654	0	0	0	0	0	0	0	0
K06655	0	0	0	0	0	0	0	0
K06656	0	0	0	0	0	0	0	0
K06657	0	0	0	0	0	0	0	0
K06658	0	0	0	0	0	0	0	0
K06659	0	0	0	0	0	0	0	0
K06660	0	0	0	0	0	0	0	0
K06661	0	0	0	0	0	0	0	0
K06662	0	0	0	0	0	0	0	0
K06663	0	0	0	0	0	0	0	0
K06664	0	0	0	0	0	0	0	0
K06665	0	2	3	4	6	5	1	0
K06666	0	0	0	0	0	0	0	0
K06667	0	0	0	0	0	0	0	0
K06668	0	0	0	0	0	0	0	0
K06669	0	0	0	0	0	0	0	0
K06670	0	0	0	0	0	0	0	0
K06671	0	0	0	0	0	0	0	0
K06672	0	0	0	0	0	0	0	0
K06673	0	0	0	0	0	0	0	0
K06674	0	0	0	0	0	0	0	0
K06675	0	0	0	0	0	0	0	0
K06676	0	0	0	0	0	0	0	0
K06677	0	0	0	0	0	0	0	0
K06678	0	0	0	0	0	0	0	0
K06679	0	0	0	0	0	0	0	0
K06680	0	0	0	0	0	0	0	0
K06681	0	0	0	0	0	0	0	0
K06682	0	0	0	0	0	0	0	0
K06683	0	0	0	0	0	0	0	0
K06684	0	0	0	0	0	0	0	0
K06685	0	0	0	0	0	0	0	0
K06686	0	0	0	0	0	0	0	0
K06687	0	0	0	0	1	0	0	0
K06688	0	0	0	0	0	0	0	0
K06689	0	0	0	0	0	0	0	0
K06691	0	0	0	0	0	0	0	0
K06696	0	0	0	0	0	0	0	0
K06697	0	0	0	0	0	0	0	0
K06698	0	0	0	0	0	0	0	0
K06699	0	0	0	0	0	0	0	0
K06700	0	0	0	0	0	0	0	0
K06704	0	0	0	0	0	0	0	0
K06708	0	0	0	0	0	0	0	0
K06710	0	0	0	0	0	0	0	0
K06713	0	0	0	0	0	0	0	0
K06718	0	2	0	2	0	0	0	0
K06720	0	0	0	0	0	0	0	0
K06724	0	0	0	0	0	0	0	0
K06726	1	2	0	1	0	2	0	0
K06728	0	0	0	0	0	0	0	0
K06735	0	0	0	0	0	0	0	0
K06736	0	0	0	0	0	0	0	0
K06741	0	0	0	0	0	0	0	0
K06742	0	0	0	0	0	0	0	0
K06743	0	0	0	0	0	0	0	0
K06744	0	0	0	0	0	0	0	0
K06745	0	0	0	0	0	0	0	0
K06746	0	0	0	0	0	0	0	0
K06751	0	0	0	0	0	0	0	0
K06752	0	0	0	0	0	0	0	0
K06753	0	0	0	0	0	0	0	0
K06754	0	0	0	0	0	0	0	0
K06755	0	0	0	0	0	0	0	0
K06756	0	0	0	0	0	0	0	0
K06757	0	0	0	0	0	0	0	0
K06759	0	0	0	0	0	0	0	0
K06760	0	0	0	0	0	0	0	0
K06765	0	0	0	0	0	0	0	0
K06766	0	0	0	0	0	0	0	0
K06770	0	0	0	0	0	0	0	0
K06771	0	0	0	0	0	0	0	0
K06775	0	0	0	0	0	0	0	0
K06779	0	0	0	0	0	0	0	0
K06780	0	0	0	0	0	0	0	0
K06781	0	0	0	0	0	0	0	0
K06785	0	0	0	0	0	0	0	0
K06786	0	0	0	0	0	0	0	0
K06787	0	0	0	0	0	0	0	0
K06788	0	0	0	0	0	0	0	0
K06793	0	0	0	0	0	0	0	0
K06796	0	0	0	0	0	0	0	0
K06797	0	0	0	0	0	0	0	0
K06809	0	0	0	0	0	0	0	0
K06815	0	0	0	0	0	0	0	0
K06816	0	1	1	0	0	0	0	0
K06820	0	0	0	0	0	0	0	0
K06821	0	0	0	0	0	0	0	0
K06823	0	0	0	0	0	0	0	0
K06838	0	0	0	0	0	0	0	0
K06839	0	0	0	0	0	0	0	0
K06840	0	0	0	0	0	0	0	0
K06841	0	0	0	0	0	0	0	0
K06842	0	0	0	0	0	0	0	0
K06843	0	0	0	0	0	0	0	0
K06844	0	0	0	0	0	0	0	0
K06845	0	0	0	0	0	0	0	0
K06850	0	0	0	0	0	0	0	0
K06854	0	0	0	0	0	0	0	0
K06855	0	0	0	0	0	0	0	0
K06856	0	0	0	0	0	0	0	0
K06857	3	61	28	26	46	36	18	4
K06858	3	27	22	12	26	20	17	2
K06859	0	16	16	20	8	8	12	0
K06861	5	47	33	26	48	45	23	3
K06862	0	2	2	0	3	2	0	0
K06863	2	0	0	0	1	0	3	0
K06868	0	0	0	0	0	0	0	0
K06928	0	0	0	0	0	0	0	0
K06943	0	0	0	0	0	0	0	0
K06965	1	0	0	0	0	0	0	0
K06982	1	0	0	0	0	0	0	0
K06985	4	17	11	15	11	11	7	2
K06989	1	8	6	5	7	8	3	1
K07026	0	3	2	1	6	6	2	1
K07091	3	36	21	22	36	22	16	1
K07106	3	32	23	23	42	33	8	4
K07127	3	22	15	12	16	13	8	2
K07151	3	12	12	9	9	6	9	0
K07173	0	0	0	0	0	0	0	0
K07178	0	9	2	3	3	5	1	0
K07179	0	0	0	0	0	0	0	0
K07187	0	0	0	0	0	0	0	0
K07188	0	0	0	0	0	0	0	0
K07189	0	0	0	0	0	0	0	0
K07190	0	10	0	0	0	2	0	0
K07191	0	0	0	0	0	0	0	0
K07192	2	19	18	11	16	15	11	4
K07193	0	0	0	0	0	0	0	0
K07194	0	0	0	0	0	0	0	0
K07195	0	0	0	0	0	0	0	0
K07196	0	0	0	0	0	0	0	0
K07197	0	0	0	0	0	0	0	0
K07198	0	0	0	0	0	0	0	0
K07199	0	0	0	0	0	0	0	0
K07200	0	0	0	0	0	0	0	0
K07201	0	0	0	0	0	0	0	0
K07202	0	0	0	0	0	0	0	0
K07203	0	0	0	0	0	0	0	0
K07204	0	0	0	0	0	0	0	0
K07205	0	0	0	0	0	0	0	0
K07206	0	0	0	0	0	0	0	0
K07207	0	0	0	0	0	0	0	0
K07208	0	0	0	0	0	0	0	0
K07209	0	0	0	0	0	0	0	0
K07210	0	0	0	0	0	0	0	0
K07211	0	0	0	0	0	0	0	0
K07213	0	8	5	4	7	5	2	0
K07235	0	1	1	1	1	0	0	0
K07236	0	0	0	0	0	0	0	0
K07237	0	0	0	0	0	0	0	0
K07246	14	96	68	48	70	66	30	18
K07248	0	10	6	4	16	14	4	0
K07249	0	0	0	0	0	0	0	0
K07250	20	395	250	240	440	370	175	15
K07251	0	0	0	0	0	0	0	0
K07252	0	4	1	0	3	5	0	0
K07253	0	0	0	0	0	0	0	0
K07255	0	8	2	2	14	6	0	0
K07256	0	0	0	0	0	2	0	0
K07258	10	68	49	50	73	46	21	9
K07259	7	69	49	36	65	57	14	5
K07260	0	3	4	3	2	3	0	0
K07292	0	0	0	0	0	0	0	0
K07293	0	0	0	0	0	0	0	0
K07294	0	0	0	0	0	0	0	0
K07296	0	0	0	0	0	0	0	0
K07297	0	0	0	0	0	0	0	0
K07298	0	0	0	0	0	0	0	0
K07299	0	0	0	0	0	0	0	0
K07309	1	3	2	0	1	1	1	0
K07310	1	2	0	0	0	0	1	0
K07342	0	0	0	0	0	0	0	0
K07359	0	0	0	0	0	0	0	0
K07360	0	0	0	0	0	0	0	0
K07361	0	0	0	0	0	0	0	0
K07362	0	0	0	0	0	0	0	0
K07363	0	0	0	0	0	0	0	0
K07364	0	0	0	0	0	0	0	0
K07365	0	0	0	0	0	0	0	0
K07366	0	0	0	0	0	0	0	0
K07367	0	0	0	0	0	0	0	0
K07368	0	0	0	0	0	0	0	0
K07369	0	0	0	0	0	0	0	0
K07370	0	0	0	0	0	0	0	0
K07371	0	0	0	0	0	0	0	0
K07372	0	0	0	0	0	0	0	0
K07373	0	0	0	0	0	0	0	0
K07374	0	0	0	0	0	3	0	0
K07375	0	0	0	0	0	0	0	0
K07376	0	16	4	0	4	8	4	0
K07377	0	0	0	0	0	0	0	0
K07378	0	0	0	0	0	0	0	0
K07379	0	0	0	0	0	0	0	0
K07380	0	0	0	0	0	0	0	0
K07381	0	0	0	0	0	0	0	0
K07382	0	0	0	0	0	0	0	0
K07383	0	0	0	0	0	0	0	0
K07384	0	0	0	0	0	0	0	0
K07385	0	0	0	0	0	0	0	0
K07404	2	31	21	16	20	24	13	2
K07405	0	22	16	14	18	27	6	5
K07406	4	56	4	4	16	8	0	0
K07407	40	348	212	208	336	304	104	56
K07408	0	0	0	0	0	0	0	0
K07409	0	0	0	0	0	0	0	0
K07410	0	0	0	0	0	0	0	0
K07411	0	0	0	0	0	0	0	0
K07412	0	0	0	0	0	0	0	0
K07413	0	0	0	0	0	0	0	0
K07414	0	0	0	0	0	0	0	0
K07415	0	0	0	0	0	0	0	0
K07416	0	0	0	0	0	0	0	0
K07418	0	0	0	0	0	0	0	0
K07419	0	0	0	0	0	0	0	0
K07420	0	0	0	0	0	0	0	0
K07422	0	0	0	0	0	0	0	0
K07424	0	0	0	0	0	0	0	0
K07425	0	0	0	0	0	0	0	0
K07430	0	0	0	0	0	0	0	0
K07431	0	0	0	0	0	0	0	0
K07432	0	0	0	0	0	0	0	0
K07433	0	0	0	0	0	0	0	0
K07434	0	0	0	0	0	0	0	0
K07437	0	0	0	0	0	0	0	0
K07438	0	0	0	0	0	0	0	0
K07439	0	0	0	0	0	0	0	0
K07440	0	0	0	0	0	0	0	0
K07441	0	0	0	0	0	0	0	0
K07462	6	106	60	60	80	66	30	12
K07466	4	0	0	0	0	0	2	0
K07508	16	108	80	76	92	96	16	4
K07509	0	0	0	0	0	0	0	0
K07511	0	0	0	0	0	0	0	0
K07512	0	0	0	0	0	0	0	0
K07513	0	0	0	0	0	0	0	0
K07514	0	12	0	0	0	12	12	0
K07515	0	12	0	0	12	24	0	0
K07516	14	186	136	128	150	146	38	22
K07518	0	1	2	0	2	1	0	0
K07519	0	0	0	0	0	0	0	0
K07520	0	0	0	0	0	0	0	0
K07521	0	0	0	0	0	0	0	0
K07522	0	0	0	0	0	0	0	0
K07523	0	0	0	0	0	0	0	0
K07524	0	0	0	0	0	0	0	0
K07525	0	0	0	0	0	0	0	0
K07526	0	0	0	0	0	0	0	0
K07527	0	0	0	0	0	0	0	0
K07528	0	0	0	0	0	0	0	0
K07529	0	0	0	0	0	0	0	0
K07530	0	0	0	0	0	0	0	0
K07531	0	0	0	0	0	0	0	0
K07532	0	0	0	0	0	0	0	0
K07534	3	7	2	12	15	10	6	1
K07535	2	48	22	24	37	36	8	4
K07536	0	2	1	1	1	2	0	1
K07537	4	38	25	24	45	23	16	9
K07538	0	3	3	2	3	1	0	1
K07539	0	4	3	1	5	3	0	3
K07540	0	0	0	0	0	0	0	0
K07541	0	0	0	0	0	0	0	0
K07542	0	0	0	0	0	0	0	0
K07543	0	13	16	13	11	8	11	1
K07544	0	4	0	0	2	0	1	1
K07545	1	25	17	8	14	12	6	0
K07546	0	3	2	0	0	0	1	0
K07547	0	0	0	0	0	0	0	0
K07548	1	1	1	1	1	0	1	0
K07549	0	0	1	1	0	0	1	0
K07550	2	3	2	2	2	0	2	0
K07553	0	0	0	0	0	0	0	0
K07562	0	0	0	0	0	0	0	0
K07573	0	0	0	0	0	0	1	0
K07587	0	0	0	0	0	0	0	0
K07590	0	0	0	0	0	0	0	0
K07593	0	0	0	0	0	0	0	0
K07594	0	0	0	0	0	0	0	0
K07595	0	0	0	0	0	0	0	0
K07596	0	0	0	0	0	0	0	0
K07597	0	0	0	0	0	0	0	0
K07601	0	0	0	0	0	0	0	0
K07603	0	0	0	0	0	0	0	0
K07607	0	0	0	0	0	0	0	0
K07610	0	0	0	0	0	0	3	0
K07632	0	0	0	0	0	0	0	0
K07633	0	0	0	0	0	0	0	0
K07634	0	0	0	0	0	0	0	0
K07635	0	0	0	0	0	0	0	0
K07636	10	101	96	77	102	101	42	13
K07637	0	8	3	3	8	6	4	1
K07638	1	19	9	8	20	6	6	1
K07639	1	2	2	2	1	0	2	1
K07640	4	16	13	9	21	20	12	1
K07641	0	18	7	14	12	8	7	3
K07642	6	22	19	19	21	6	4	1
K07643	1	0	0	0	0	0	0	0
K07644	2	16	11	15	21	13	3	2
K07645	3	20	14	8	17	8	5	1
K07646	12	132	80	76	107	88	38	13
K07647	4	12	14	8	9	5	1	0
K07648	1	3	0	1	1	1	0	0
