KO_ID	P1	P2	P3	P4	I1	I2	I3	I4
K00372	4	35	24	20	22	20	5	2
K00373	4	8	4	2	4	2	8	0
K00374	4	16	6	6	6	4	10	0
K00376	1	4	3	2	4	4	0	0
K00380	5	45	27	28	36	28	11	2
K00381	4	45	34	30	40	36	19	3
K00382	75	880	575	475	740	530	265	95
K00383	4	48	36	34	45	36	21	5
K00384	58	484	346	294	458	338	160	46
K00387	1	18	12	11	24	13	5	2
K00388	0	0	0	0	0	0	0	0
K00390	10	73	49	48	66	58	19	4
K00392	5	47	35	31	39	33	20	3
K00394	0	8	4	2	5	3	6	0
K00395	0	4	1	1	1	1	1	0
K00399	0	0	0	0	0	0	0	0
K00400	0	0	0	0	0	0	0	0
K00401	0	0	0	0	0	0	0	0
K00402	0	0	0	0	0	0	0	0
K00404	0	19	11	7	12	18	7	0
K00405	0	11	8	4	6	10	4	0
K00406	5	54	38	27	32	32	20	1
K00407	0	3	3	2	2	4	1	0
K00408	0	0	0	0	0	0	0	0
K00411	20	60	40	56	52	44	40	0
K00412	40	328	184	156	272	228	140	28
K00413	8	52	36	40	36	28	12	0
K00414	0	0	0	0	0	0	0	0
K00415	0	0	0	0	0	0	0	0
K00416	0	0	0	0	0	0	0	0
K00417	0	0	0	0	0	0	0	0
K00418	0	0	0	0	0	0	0	0
K00419	0	0	0	0	0	0	0	0
K00420	0	0	0	0	0	0	0	0
K00422	0	2	2	0	2	0	0	0
K00423	0	3	4	4	6	4	0	1
K00425	10	68	38	37	51	46	14	6
K00426	6	50	31	31	47	33	15	6
K00429	0	0	0	0	0	0	0	0
K00430	0	3	3	0	0	0	0	0
K00431	0	0	0	0	0	0	0	0
K00432	6	78	54	52	68	54	22	6
K00434	0	0	0	0	0	0	0	0
K00436	2	31	17	20	31	23	11	2
K00440	0	0	0	0	0	0	0	0
K00441	1	4	3	0	2	4	5	0
K00442	0	0	0	0	1	0	0	0
K00443	0	0	0	0	0	0	0	0
K00444	0	0	0	0	0	0	0	0
K00445	0	0	0	0	0	0	0	0
K00446	4	48	12	24	24	16	32	0
K00448	6	81	36	36	63	63	42	0
K00449	6	108	48	51	84	66	45	0
K00450	1	34	13	12	19	13	7	1
K00451	2	58	42	38	54	44	32	4
K00452	0	15	11	6	14	13	2	3
K00453	2	36	26	27	39	28	17	6
K00454	0	0	0	0	0	0	0	0
K00455	1	3	2	0	4	1	0	0
K00456	4	38	32	14	42	24	8	6
K00457	12	192	117	132	186	132	72	15
K00458	0	0	0	0	0	0	1	0
K00459	6	70	42	46	58	43	30	6
K00460	0	0	0	0	0	0	0	0
K00461	0	4	0	0	0	0	2	0
K00462	2	12	10	12	10	8	8	0
K00463	0	2	2	0	4	4	2	0
K00465	0	0	0	0	0	0	0	0
K00466	0	8	4	1	5	3	1	0
K00467	0	5	3	5	2	3	0	1
K00468	0	0	0	0	0	0	0	0
K00469	0	4	2	2	12	8	2	0
K00471	1	5	5	4	8	9	0	2
K00472	1	15	11	17	13	6	8	1
K00473	0	0	0	0	0	0	0	0
K00474	0	0	0	0	0	0	0	0
K00475	0	1	0	0	0	0	0	0
K00477	0	8	6	8	9	5	3	0
K00480	0	162	84	87	99	69	48	6
K00481	2	59	41	29	42	43	22	3
K00483	0	21	11	17	14	11	7	3
K00484	3	8	9	16	16	13	4	2
K00485	0	10	0	4	8	0	2	0
K00486	0	18	10	9	10	12	5	2
K00487	0	0	0	0	0	0	0	0
K00488	0	0	0	0	0	0	0	0
K00489	0	0	0	0	0	0	0	0
K00490	0	0	0	0	0	0	0	0
K00491	0	0	0	0	0	1	0	0
K00492	0	0	0	0	0	0	0	0
K00493	3	39	39	33	39	21	24	3
K00496	1	4	2	3	3	3	1	0
K00497	0	0	0	0	0	0	0	0
K00498	0	0	0	0	0	0	0	0
K00499	7	61	47	57	64	76	24	8
K00500	8	18	16	18	24	18	4	0
K00501	0	0	0	0	0	0	0	0
K00502	0	0	0	0	0	0	0	0
K00503	0	0	0	0	0	0	0	0
K00505	10	65	40	35	55	35	10	0
K00506	0	0	0	0	0	0	0	0
K00507	18	164	116	98	112	112	50	18
K00508	0	5	4	3	2	4	3	0
K00509	0	0	0	0	0	0	0	0
K00510	0	4	2	0	2	6	2	0
K00511	0	0	1	0	1	0	1	0
K00512	0	0	0	0	0	0	0	0
K00513	0	0	0	0	0	0	0	0
K00514	2	22	13	10	21	22	3	2
K00515	0	0	0	0	0	0	0	0
K00516	0	0	0	0	0	0	0	0
K00517	0	0	0	0	0	0	0	0
K00522	0	0	0	0	0	0	0	0
K00523	6	19	21	15	21	15	8	3
K00524	0	0	0	0	0	2	0	0
K00525	18	140	92	64	98	106	44	8
K00526	4	38	12	18	24	18	12	2
K00527	4	4	2	2	4	14	4	0
K00529	15	84	78	60	93	69	33	9
K00531	0	0	0	0	0	0	0	0
K00532	0	2	0	0	2	0	0	0
K00533	0	0	0	0	0	0	0	0
K00534	0	2	6	2	2	4	2	0
