mOTU	P1	P2	P3	P4	I1	I2	I3	I4
OTU272	0	0	0	0	0	0	0	0
OTU273	0	0	0	0	0	0	0	0
OTU274	0	0	0	0	0	0	0	0
OTU275	0	0	0	0	0	0	0	0
OTU276	0	0	0	0	0	0	0	0
OTU277	0	0	0	0	0	0	0	0
OTU278	0	0	0	0	0	0	0	0
OTU279	0	0	0	0	0	0	0	0
OTU280	0	0	0	0	0	0	0	0
OTU281	0	0	0	0	0	0	0	0
OTU282	0	0	0	0	0	0	0	0
OTU283	0	0	0	0	0	0	0	0
OTU284	0	0	0	0	0	0	0	0
OTU285	0	0	0	0	0	0	0	0
OTU286	0	0	0	0	0	0	0	0
OTU287	0	0	0	0	0	0	0	0
OTU288	0	0	0	0	0	0	0	0
OTU289	0	0	0	0	0	0	0	0
OTU290	0	0	0	0	0	0	0	0
OTU291	2	0	0	2	0	1	0	0
OTU292	0	0	0	0	0	0	0	0
OTU293	0	0	0	0	0	0	0	0
OTU294	0	0	0	0	0	0	0	0
OTU295	0	0	0	0	0	0	0	0
OTU296	0	0	0	0	0	0	0	0
OTU297	0	0	0	0	0	0	2	0
OTU298	0	0	0	0	0	0	0	0
OTU299	0	0	0	0	0	0	1	0
OTU300	3	0	1	0	0	0	0	0
OTU301	0	0	0	0	0	0	0	0
OTU302	0	0	0	0	0	0	0	0
OTU303	0	0	0	0	0	0	0	0
OTU304	0	0	0	0	0	0	0	0
OTU305	0	0	0	0	0	0	0	0
OTU306	16	9	7	13	11	7	5	11
OTU307	0	0	0	0	0	0	0	0
OTU308	0	0	0	0	0	0	0	0
OTU309	0	0	0	0	0	0	0	0
OTU310	0	0	0	0	0	0	0	0
OTU311	0	0	0	0	0	0	0	0
OTU312	0	0	0	0	0	0	0	0
OTU313	0	0	0	0	0	0	0	0
OTU314	3	2	3	2	2	4	6	3
OTU315	0	0	0	0	0	0	0	0
OTU316	0	0	0	0	0	0	0	0
OTU317	0	0	0	0	0	0	0	0
OTU318	0	0	0	0	0	0	0	0
OTU319	0	0	0	0	0	0	0	0
OTU320	0	0	0	0	0	0	0	0
OTU321	0	0	0	0	0	0	0	0
OTU322	2	0	0	0	0	0	0	0
OTU323	0	0	0	0	0	0	0	0
OTU324	0	0	0	0	0	0	0	0
OTU325	0	0	0	0	0	0	0	0
OTU326	0	0	0	0	0	0	0	0
OTU327	0	0	0	0	0	0	0	0
OTU328	2	2	0	0	0	0	0	0
OTU329	0	0	0	0	0	0	0	0
OTU330	0	0	0	0	0	0	0	0
OTU331	0	0	0	0	0	0	0	0
OTU332	0	0	0	0	0	0	0	0
OTU333	0	0	0	0	0	0	0	0
OTU334	0	0	0	0	0	0	0	0
OTU335	0	0	0	0	0	0	0	0
OTU336	0	0	0	0	0	0	0	0
OTU337	0	0	0	0	0	0	0	0
OTU338	0	0	0	0	0	0	0	0
OTU339	0	0	0	0	0	0	0	0
OTU340	0	0	0	0	0	0	0	0
OTU341	0	0	0	0	0	0	0	0
OTU342	0	0	0	0	0	0	0	0
OTU343	0	0	0	0	0	0	0	0
OTU344	0	0	0	0	0	0	0	0
OTU345	0	0	0	0	0	0	0	0
OTU346	0	0	0	0	0	0	0	0
OTU347	0	0	0	0	0	0	0	0
OTU348	0	0	0	0	0	0	0	0
OTU349	0	0	0	0	0	0	0	0
OTU350	0	0	0	0	0	0	0	0
OTU351	0	0	0	0	0	0	0	0
OTU352	0	0	0	0	0	0	0	0
OTU353	0	0	0	0	0	0	0	0
OTU354	0	0	0	0	0	0	0	0
OTU355	0	0	0	0	0	0	0	0
OTU356	0	0	0	0	0	0	0	0
OTU357	0	0	0	0	0	0	0	0
OTU358	0	0	0	0	0	0	0	0
OTU359	0	0	0	0	0	0	0	0
OTU360	0	0	0	0	0	0	0	0
OTU361	0	0	0	0	0	0	0	0
OTU362	0	0	0	0	0	0	0	0
OTU363	3	1	1	0	1	0	0	0
OTU364	0	0	0	0	0	0	0	0
OTU365	0	0	0	0	0	0	0	0
OTU366	0	0	0	0	0	0	0	0
OTU367	0	0	0	0	0	0	0	0
OTU368	0	0	0	0	0	0	0	0
OTU369	2	0	0	0	0	0	2	0
OTU370	0	0	0	0	0	0	0	0
OTU371	0	0	0	0	0	0	0	0
OTU372	0	0	0	0	0	0	0	0
OTU373	4	0	0	0	0	0	0	0
OTU374	0	0	0	0	0	0	0	0
OTU375	0	0	0	0	0	0	0	0
OTU376	0	0	0	0	0	0	0	0
OTU377	0	0	0	0	0	0	0	0
OTU378	0	0	0	0	0	0	0	0
OTU379	0	0	0	0	0	0	0	0
OTU380	0	0	0	0	0	0	0	0
OTU381	0	0	0	0	0	0	0	0
OTU382	0	0	0	0	0	0	0	0
OTU383	0	0	0	0	0	0	0	0
OTU384	0	0	0	0	0	0	0	0
OTU385	0	0	0	0	0	0	0	0
OTU386	0	0	0	0	0	0	0	0
OTU387	0	0	0	0	0	0	0	0
OTU388	0	0	0	0	0	0	0	0
OTU389	0	0	0	0	0	0	0	0
OTU390	0	0	1	0	0	0	3	0
OTU391	0	0	0	0	0	0	0	0
OTU392	0	0	0	0	0	0	0	0
OTU393	0	0	0	0	0	0	0	0
OTU394	0	0	0	0	0	0	0	0
OTU395	0	0	0	0	0	0	0	0
OTU396	0	0	0	0	0	0	0	0
OTU397	0	0	0	0	0	0	0	0
OTU398	0	0	0	0	0	0	0	0
OTU399	7	0	3	2	2	1	1	1
OTU400	0	0	0	0	0	0	0	0
OTU401	3	0	0	0	2	0	2	2
OTU402	0	0	0	0	0	0	0	0
OTU403	0	1	0	0	0	1	0	1
OTU404	0	0	0	0	0	0	0	0
OTU405	0	0	0	0	0	0	0	0
OTU406	0	0	0	0	0	0	0	0
OTU407	0	0	0	0	0	0	0	0
OTU408	0	0	0	0	0	0	0	0
OTU409	0	0	0	0	0	0	0	0
OTU410	0	0	0	0	0	0	0	0
OTU411	0	0	0	0	0	0	0	0
OTU412	0	0	0	0	0	0	0	0
OTU413	0	0	0	0	0	0	0	0
OTU414	0	0	0	0	0	0	0	0
OTU415	0	0	0	0	0	0	0	0
OTU416	0	0	0	0	0	0	0	0
OTU417	0	0	0	0	0	0	0	0
OTU418	0	0	0	0	0	0	0	0
OTU419	4	0	0	0	0	2	1	0
OTU420	0	0	0	0	0	0	0	0
OTU421	0	0	0	0	0	0	0	0
OTU422	0	0	0	0	0	0	0	0
OTU423	0	0	0	0	0	0	0	0
OTU424	0	0	0	0	0	0	0	0
OTU425	0	0	0	0	0	0	0	0
OTU426	0	0	0	0	0	0	0	0
OTU427	1	3	0	0	0	0	0	0
OTU428	0	0	0	0	0	0	0	0
OTU429	0	0	0	0	0	0	0	0
OTU430	0	0	0	0	0	0	0	0
OTU431	0	0	0	0	0	0	0	0
OTU432	0	0	0	0	0	0	0	0
