"gene","P1","P2","P3","P4","I1","I2","I3","I4"
"PL1_3",0,0,0,0,2,0,1,0
"PL1_4",0,1,0,1,3,1,2,0
"PL1_5",2,5,1,2,3,2,5,1
"PL1_6",1,0,0,0,1,1,0,0
"PL1_7",0,0,0,1,0,0,1,1
"PL21_1",0,3,3,3,4,4,4,5
"PL22",0,3,1,2,4,4,1,3
"PL22_1",2,0,0,0,0,0,0,0
"PL22_2",2,0,0,1,1,1,3,3
"PL23",6,14,11,3,7,8,13,11
"PL26",6,13,9,15,10,9,14,13
"PL28",0,0,1,0,0,3,0,3
"PL2_1",0,0,0,0,0,1,0,0
"PL3",1,2,0,0,3,0,1,1
"PL3_1",25,84,34,40,50,40,70,52
"PL3_2",0,0,1,0,0,0,0,0
"PL3_4",1,0,0,0,1,0,0,0
"PL4",0,2,2,3,5,2,2,3
"PL4_1",0,2,1,1,4,3,2,2
"PL4_2",0,0,1,0,0,0,0,1
"PL4_3",0,1,0,1,0,0,0,0
"PL5",1,0,0,1,0,0,0,0
"PL6",0,2,2,0,3,10,1,9
"PL6_1",0,3,1,2,3,7,3,5
"PL6_2",0,2,1,1,4,5,2,3
"PL6_3",0,1,0,0,0,0,0,0
"PL7",2,1,2,2,1,1,1,2
"PL7_3",0,2,0,0,0,1,0,0
"PL7_5",0,2,0,0,2,0,1,1
"PL8",3,7,3,4,10,5,4,7
"PL8_2",0,3,0,0,0,2,2,1
"PL8_3",1,8,8,9,10,12,17,13
"PL9",17,54,47,37,57,43,62,38
"PL9_1",8,30,10,7,28,15,11,19
"PL9_2",5,24,14,10,11,21,22,27
"PL9_3",34,126,74,70,106,63,124,87
"PL9_4",0,2,3,3,4,2,4,1
